task_id,no_memory_successes,generic_policy_card_successes,oracle_single_missing_check_card_successes,hard_mismatched_card_successes,oracle_minus_no,oracle_minus_generic,oracle_minus_mismatch
1,2,3,3,2,1,0,1
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
7,2,2,2,2,0,0,0
16,1,0,3,0,2,3,3
19,1,0,0,2,-1,0,-2
20,0,0,0,0,0,0,0
27,2,1,1,0,-1,0,1
28,0,0,0,0,0,0,0
34,1,3,2,1,1,-1,1
36,1,2,0,1,-1,-2,-1
41,0,1,0,2,0,-1,-2
71,0,0,0,0,0,0,0
95,0,1,3,0,3,2,3
98,1,1,1,1,0,0,0
99,0,0,0,0,0,0,0
103,0,2,0,1,0,-2,-1
104,1,0,0,1,-1,0,-1
112,0,0,0,0,0,0,0
